Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Average Packet Size,Packet Length Std,Flow IAT Mean,Flow IAT Std,Label
1623252,20,13,2876.2,6822.6,5974.94,20.33,293.9,114.32,50726.64,17869.74,BENIGN
3491469,9,29,1360.1,12908.7,4086.78,10.88,375.5,238.84,94364.04,108018.27,BENIGN
202959,26,38,2667.4,31152.6,166634.57,315.33,528.44,175.03,3221.58,1810.87,BENIGN
2525040,15,33,2944.9,19345.2,8827.6,19.01,464.38,99.93,53724.28,46017.39,BENIGN
1653355,25,8,4509.8,7554.0,7296.53,19.96,365.57,179.11,51667.36,16117.04,BENIGN
3780366,19,14,1182.5,8186.0,2478.19,8.73,283.89,133.03,118136.46,108087.44,BENIGN
2517987,13,19,1491.7,10370.0,4710.79,12.71,370.68,246.18,81225.4,55447.73,BENIGN
990178,9,34,1761.7,34683.6,36806.79,43.43,847.56,286.69,23575.67,26059.24,BENIGN
2472019,21,20,1520.2,11135.7,5119.66,16.59,308.68,89.95,61800.5,36635.17,BENIGN
1676973,23,29,2528.7,18117.7,12311.72,31.01,397.05,199.39,32881.84,14035.01,BENIGN
3248348,6,30,1189.0,30533.9,9765.84,11.08,881.19,123.72,92809.96,28304.24,BENIGN
3298753,22,13,3565.3,13221.2,5088.76,10.61,479.62,96.29,97022.16,60407.86,BENIGN
640302,12,14,1767.1,9306.1,17293.7,40.61,425.89,93.98,25612.1,14852.05,BENIGN
1435696,8,27,1473.7,20999.8,15653.39,24.38,642.1,106.31,42226.37,39773.88,BENIGN
3090983,28,19,3615.7,15545.5,6199.07,15.21,407.69,174.06,67195.29,21695.83,BENIGN
609987,12,37,1888.5,18924.2,34119.85,80.33,424.75,212.97,12708.07,9986.73,BENIGN
971632,18,37,2589.1,35365.6,39062.89,56.61,690.09,273.7,17993.2,15508.67,BENIGN
1323408,26,11,3221.8,6322.3,7211.73,27.96,257.95,171.63,36761.33,40251.9,BENIGN
1432511,28,33,3076.7,37140.3,28074.45,42.58,659.29,139.87,23875.18,21079.9,BENIGN
201977,18,8,1097.5,6468.8,37461.13,128.73,291.01,171.83,8079.1,4038.72,BENIGN
655488,17,29,3264.1,19098.3,34115.68,70.18,486.14,194.13,14566.41,13586.34,BENIGN
1581792,22,17,2095.5,13562.6,9898.94,24.66,401.49,146.19,41626.12,23158.96,BENIGN
340170,22,7,2868.3,3088.3,17510.44,85.25,205.4,141.3,12148.94,13575.71,BENIGN
1110335,7,31,1385.9,18403.0,17822.46,34.22,520.76,227.87,30009.06,29572.66,BENIGN
