dur,spkts,dpkts,sbytes,dbytes,rate,sinpkt,dinpkt,attack_cat
1.560706,20,13,2876,6822,21.1443,82.1424,130.0589,Normal
0.708379,16,16,2900,14094,45.1736,47.2252,47.2252,Normal
2.861483,27,7,4349,8055,11.882,110.057,476.9138,Normal
0.103037,26,38,2667,31152,621.135,4.1215,2.7848,Normal
1.784586,22,32,3204,16371,30.2591,84.9803,57.5673,Normal
1.239364,21,20,2600,20562,33.0815,61.9682,65.2297,Normal
0.878728,28,8,5050,7553,40.9683,32.5455,125.5325,Normal
1.856947,23,9,4413,7655,17.2326,84.4067,232.1184,Normal
1.603124,26,7,4050,5264,20.5848,64.125,267.1874,Normal
0.575949,13,19,1491,10369,55.5605,47.9958,31.9972,Normal
3.04591,11,9,944,10581,6.5662,304.591,380.7387,Normal
3.123018,7,15,1296,13174,7.0445,520.503,223.0727,Normal
3.69531,13,19,1136,8287,8.6596,307.9425,205.295,Normal
1.368788,21,23,2846,19996,32.1452,68.4394,62.2176,Normal
3.864496,18,34,3101,15627,13.4558,227.3233,117.1059,Normal
3.948859,29,6,2546,2426,8.8633,141.0307,789.7718,Normal
3.2803,22,13,3565,13221,10.6698,156.2047,273.3583,Normal
0.388774,12,33,2170,29655,115.7484,35.3431,12.1492,Normal
1.390502,21,28,3226,26116,35.2391,69.5251,51.5001,Normal
2.406061,27,32,3741,22602,24.5214,92.5408,77.6149,Normal
3.889677,8,6,1288,3532,3.5993,555.6682,777.9354,Normal
1.098666,14,20,1677,8406,30.9466,84.5128,57.8246,Normal
0.520777,12,37,1888,18924,94.0903,47.3433,14.466,Normal
2.457228,20,34,1840,15693,21.976,129.3278,74.4614,Normal
1.230031,27,33,5134,34534,48.7793,47.3089,38.4385,Normal
2.570275,11,33,1897,18125,17.1188,257.0275,80.3211,Normal
3.58098,16,33,1758,37140,13.6834,238.732,111.9056,Normal
1.161316,25,18,4512,7300,37.027,48.3882,68.3127,Normal
2.091914,14,38,1074,25463,24.8576,160.9165,56.5382,Normal
3.777348,27,37,3581,35609,16.9431,145.2826,104.9263,Normal
1.518155,22,17,2095,13562,25.6891,72.2931,94.8847,Normal
1.273425,22,22,2141,25988,34.5525,60.6393,60.6393,Normal
1.703044,28,37,5240,21891,38.1669,63.0757,47.3068,Normal
0.66509,17,31,3365,18402,72.1707,41.5681,22.1697,Normal
2.721329,16,22,2591,15272,13.9638,181.4219,129.5871,Normal
2.565993,11,27,1485,12750,14.8091,256.5993,98.692,Normal
3.35768,11,21,722,18327,9.5304,335.768,167.884,Normal
2.742501,24,31,3160,18017,20.0547,119.2392,91.4167,Normal
2.616174,25,38,2891,30939,24.081,109.0072,70.7074,Normal
3.367069,16,33,2606,18719,14.5527,224.4713,105.2209,Normal
0.000587,2,0,88,0,3405.3962,0.5873,0.0,Reconnaissance
0.000306,2,1,88,40,9813.7026,0.3057,0.0,Reconnaissance
0.000984,2,1,88,40,3048.9307,0.984,0.0,Reconnaissance
0.000335,1,1,44,40,5974.6747,0.0,0.0,Reconnaissance
0.000969,1,0,44,0,1032.1223,0.0,0.0,Reconnaissance
0.000894,1,0,44,0,1118.1021,0.0,0.0,Reconnaissance
0.000351,1,1,44,40,5698.2619,0.0,0.0,Reconnaissance
0.000862,2,1,88,40,3480.2985,0.862,0.0,Reconnaissance
0.000464,1,1,44,40,4309.8125,0.0,0.0,Reconnaissance
0.000866,1,1,44,40,2309.9073,0.0,0.0,Reconnaissance
0.000807,2,1,88,40,3718.3633,0.8068,0.0,Reconnaissance
0.000623,2,1,88,40,4818.3641,0.6226,0.0,Reconnaissance
0.000946,1,0,44,0,1056.9483,0.0,0.0,Reconnaissance
0.000356,2,1,88,40,8438.1331,0.3555,0.0,Reconnaissance
0.000537,1,1,44,40,3724.0315,0.0,0.0,Reconnaissance
7.966745,4027,3,217458,120,505.5552,1.9788,0.0,DoS
3.423495,2037,3,109998,120,595.2398,1.6815,0.0,DoS
4.198813,3554,2,191916,80,846.5023,1.1818,0.0,DoS
5.945677,4405,3,237870,120,740.9852,1.3501,0.0,DoS
5.052884,3950,1,213300,40,781.7996,1.2795,0.0,DoS
3.463938,3407,0,183978,0,983.8063,1.017,0.0,DoS
4.920453,4643,2,250722,80,943.6593,1.06,0.0,DoS
6.768868,4748,3,256392,120,701.5823,1.4259,0.0,DoS
6.013544,5523,3,298242,120,918.5005,1.089,0.0,DoS
6.334713,3601,2,194454,80,568.4634,1.7596,0.0,DoS
6.611324,2817,3,152118,120,426.1623,2.3478,0.0,DoS
7.642752,7431,0,401274,0,972.3571,1.0286,0.0,DoS
7.300964,6195,0,334530,0,848.6313,1.1787,0.0,DoS
7.569911,4972,0,268488,0,656.9105,1.5228,0.0,DoS
5.433755,5369,3,289926,120,988.199,1.0122,0.0,DoS
31.777956,8,4,800,400,0.3776,4539.708,10592.6519,Backdoors
32.67688,5,4,500,400,0.2754,8169.2201,10892.2934,Backdoors
35.787659,9,5,900,500,0.3912,4473.4573,8946.9147,Backdoors
57.200673,9,5,900,500,0.2448,7150.0842,14300.1683,Backdoors
44.600289,9,5,900,500,0.3139,5575.0361,11150.0723,Backdoors
30.166546,5,5,500,500,0.3315,7541.6365,7541.6365,Backdoors
32.902031,4,4,400,400,0.2431,10967.3435,10967.3435,Backdoors
48.099363,8,5,800,500,0.2703,6871.3376,12024.8408,Backdoors
52.374446,6,5,600,500,0.21,10474.8892,13093.6116,Backdoors
54.682893,8,7,800,700,0.2743,7811.8418,9113.8155,Backdoors
40.453696,4,7,400,700,0.2719,13484.5653,6742.2827,Backdoors
51.931807,4,9,400,900,0.2503,17310.6024,6491.4759,Backdoors
51.831707,7,6,700,600,0.2508,8638.6178,10366.3414,Backdoors
33.519806,7,5,700,500,0.358,5586.6344,8379.9516,Backdoors
23.759278,9,6,900,600,0.6313,2969.9097,4751.8555,Backdoors
4.259186,36,36,5941,3809,16.9046,121.691,121.691,Exploits
3.122859,47,22,12154,2912,22.0951,67.8882,148.7076,Exploits
5.360233,18,20,2327,3594,7.0892,315.3078,282.1175,Exploits
4.784446,30,27,8835,5594,11.9136,164.9809,184.0171,Exploits
